"","age","I_30250","I_30400","I_30550","I_40250","I_40400","I_40550","I_50250","I_50400","I_50550","interception","Ckat_Tracing","Ckat_aiming","Ckat_Tracking","Open","Closed","Attainment_Maths"
"213",10.22587269,5,2,3,3,2,3,6,4,3,31,0.847186508,1.4248,9.873016,1.62095,0.769361,9
"214",9.771389459,2,3,3,2,4,3,5,5,5,32,2.854676244,1.9186,15.0965785,29.413424,20.125924,5
"215",10.49965777,5,6,3,6,4,6,6,6,5,47,1.618348197,1.4462,10.380991,4.046072,4.435851,5
"216",10.48596851,4,4,2,6,5,3,6,4,5,39,1.031398671,1.663,17.6421895,1.224866,3.849075,10
"217",10.31895962,3,0,2,3,1,4,6,3,2,24,1.00407091,1.3104,8.1564135,1.154556,1.972368,11
"218",9.522245038,6,4,4,4,5,2,4,5,4,38,0.992860406,1.4272,10.128986,1.62901,4.085556,10
"219",10.4476386,4,2,1,4,4,2,4,5,1,27,1.003300896,1.2552,10.7137565,3.227674,7.788864,10
"220",9.650924025,4,2,3,5,3,3,6,6,5,37,0.990890009,1.1932,21.1621285,4.923224,1.819018,9
"221",9.900068446,3,4,4,2,2,2,6,3,1,27,1.515354217,1.6228,14.1995335,3.080581,4.279813,9
"222",9.968514716,4,5,3,4,4,5,6,3,6,40,0.923469445,1.4074,8.6751675,1.613742,1.347644,9
"223",10.33264887,4,2,5,4,3,4,4,5,2,33,1.494650388,1.2672,9.140907,1.121712,1.106787,8
"224",10.31348392,3,5,2,3,4,4,4,4,3,32,1.356599651,1.4876,18.390969,1.837712,2.790541,8
"225",9.828884326,2,0,1,2,1,5,4,2,2,19,1.084015467,1.3872,10.9745375,6.33107,2.768845,10
"226",9.549623546,3,2,2,2,1,1,3,1,3,18,3.031428106,2.3844,17.4367315,4.485681,4.819968,6
"227",10.4202601,5,4,3,3,5,2,5,3,5,35,1.375700574,1.287,8.4763905,3.664205,9.06702,9
"228",9.861738535,4,2,1,1,4,2,5,4,5,28,1.615190739,1.766,14.080821,8.644908,15.039923,4
"229",10.41478439,4,5,4,4,4,4,6,4,5,40,0.999155789,1.1292,7.615368,2.198383,1.667211,11
"230",9.87816564,2,4,3,3,4,4,2,4,5,31,2.301011501,1.8262,54.275218,5.342644,2.947806,7
"231",10.2477755,3,3,0,3,3,4,5,5,4,30,1.365558811,1.7112,11.6381955,1.262308,2.144161,8
"232",9.905544148,4,3,4,4,3,5,5,3,4,35,1.463320275,1.4996,9.1799255,2.988165,4.230074,9
